¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
153,1110¥ø    »È,71.70,0,9000,,154,1110¥ø    »È,71.80,0,6000 
155,1110¥ø    »È,72.10,0,5000,,156,1110¥ø    »È,72.40,0,15000 
157,1110¥ø    »È,72.50,0,10000,,158,1110¥ø    »È,72.80,15000,0 
159,1110¥ø    »È,72.90,0,15000,,160,1111¥ø»È¥x¤¤,69.80,2000,0 
161,1111¥ø»È¥x¤¤,70.10,1000,0,,162,1111¥ø»È¥x¤¤,70.50,1000,0 
163,1111¥ø»È¥x¤¤,70.80,1000,0,,164,1111¥ø»È¥x¤¤,71.30,1000,0 
165,1111¥ø»È¥x¤¤,71.70,0,1000,,166,1111¥ø»È¥x¤¤,72.00,1000,0 
167,1112¥ø»È¥x«n,73.20,0,2000,,168,1114¥ø»È¹Å¸q,72.10,0,1000 
169,1114¥ø»È¹Å¸q,72.20,1000,0,,170,1115¥ø»È¤Ó¥­,69.80,5000,0 
171,1115¥ø»È¤Ó¥­,72.20,2000,5000,,172,1117¥ø»È¦Ë¥_,71.10,0,1000 
173,1117¥ø»È¦Ë¥_,71.80,1000,0,,174,1118¥ø»ÈÂ×­ì,71.80,1000,0 
175,111E¥ø»È®ç¶é,72.20,1000,0,,176,111G¥ø»È®HáY,71.50,0,1000 
177,111G¥ø»È®HáY,72.00,1000,0,,178,1160¤é    ²±,69.50,2000,0 
179,1160¤é    ²±,71.40,1000,0,,180,1160¤é    ²±,71.70,4000,2000 
181,1160¤é    ²±,71.80,1000,0,,182,1160¤é    ²±,71.90,0,1000 
183,1160¤é    ²±,72.00,0,1000,,184,1160¤é    ²±,72.30,0,4000 
185,1160¤é    ²±,72.40,0,1000,,186,1161¤é²±©¾§µ,71.00,0,4000 
187,1161¤é²±©¾§µ,71.20,3000,0,,188,1161¤é²±©¾§µ,71.60,0,3000 
189,1161¤é²±©¾§µ,71.80,0,2000,,190,1161¤é²±©¾§µ,72.20,2000,0 
191,1161¤é²±©¾§µ,72.50,4000,0,,192,1161¤é²±©¾§µ,72.80,1000,0 
193,1162¤é²±¥x«n,71.70,1000,0,,194,1162¤é²±¥x«n,72.10,1000,0 
195,1162¤é²±¥x«n,72.20,1000,0,,196,1163¤é²±¥x¤¤,69.50,2000,0 
197,1163¤é²±¥x¤¤,71.50,0,5000,,198,1163¤é²±¥x¤¤,72.20,0,5000 
199,1163¤é²±¥x¤¤,73.00,10000,0,,200,1164¤é²±¤º´ò,71.60,0,1000 
201,1164¤é²±¤º´ò,72.10,1000,0,,202,1164¤é²±¤º´ò,72.20,2000,0 
203,1164¤é²±¤º´ò,72.40,1000,0,,204,1164¤é²±¤º´ò,72.80,1000,0 
205,1165¤é²±ªO¾ô,69.50,0,1000,,206,1165¤é²±ªO¾ô,70.50,1000,0 
207,1165¤é²±ªO¾ô,72.00,0,1000,,208,1165¤é²±ªO¾ô,72.90,1000,0 
209,1166¤é²±Âù©M,71.50,0,1000,,210,1166¤é²±Âù©M,71.70,1000,0 
211,1166¤é²±Âù©M,72.10,2000,2000,,212,1166¤é²±Âù©M,72.30,1000,0 
213,1166¤é²±Âù©M,72.80,1000,0,,214,1166¤é²±Âù©M,72.90,0,2000 
215,1167¤é²±¹Å¸q,72.40,2000,0,,216,1168¤é²±°ª¶¯,70.10,1000,0 
217,1168¤é²±°ª¶¯,72.00,0,1000,,218,1169¤é²±¤hªL,69.50,0,2000 
219,1169¤é²±¤hªL,70.30,2000,0,,220,1169¤é²±¤hªL,70.60,0,1000 
221,1169¤é²±¤hªL,71.50,2000,0,,222,1169¤é²±¤hªL,71.70,1000,0 
223,1169¤é²±¤hªL,71.90,0,2000,,224,1169¤é²±¤hªL,72.00,1000,0 
225,1169¤é²±¤hªL,72.30,0,1000,,226,1169¤é²±¤hªL,72.40,0,1000 
227,1169¤é²±¤hªL,72.50,2000,1000,,228,1169¤é²±¤hªL,72.90,0,1000 
229,116A¤é²±¤ì¬],69.90,1000,0,,230,116A¤é²±¤ì¬],70.30,0,1000 
231,116A¤é²±¤ì¬],71.50,0,2000,,232,116A¤é²±¤ì¬],71.60,8000,0 
233,116A¤é²±¤ì¬],71.70,0,2000,,234,116A¤é²±¤ì¬],71.80,0,1000 
235,116A¤é²±¤ì¬],71.90,0,1000,,236,116A¤é²±¤ì¬],72.10,0,2000 
237,116A¤é²±¤ì¬],72.30,0,1000,,238,116A¤é²±¤ì¬],72.40,2000,2000 
