¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1221,6163¤¤«H°U¥Ã,71.60,0,11000,,1222,6163¤¤«H°U¥Ã,72.00,1000,0 
1223,6163¤¤«H°U¥Ã,72.50,0,1000,,1224,6164¤¤«H°U¤å,69.50,0,1000 
1225,6164¤¤«H°U¤å,69.70,1000,0,,1226,6164¤¤«H°U¤å,69.80,1000,0 
1227,6164¤¤«H°U¤å,70.00,0,10000,,1228,6164¤¤«H°U¤å,70.40,0,2000 
1229,6164¤¤«H°U¤å,70.80,3000,0,,1230,6164¤¤«H°U¤å,71.10,0,1000 
1231,6164¤¤«H°U¤å,71.30,1000,0,,1232,6164¤¤«H°U¤å,71.50,1000,0 
1233,6164¤¤«H°U¤å,71.60,1000,3000,,1234,6164¤¤«H°U¤å,71.80,4000,2000 
1235,6164¤¤«H°U¤å,71.90,1000,0,,1236,6164¤¤«H°U¤å,72.00,7000,0 
1237,6164¤¤«H°U¤å,72.10,8000,0,,1238,6164¤¤«H°U¤å,72.20,1000,0 
1239,6164¤¤«H°U¤å,72.30,1000,0,,1240,6164¤¤«H°U¤å,72.50,0,1000 
1241,6164¤¤«H°U¤å,72.60,0,3000,,1242,6164¤¤«H°U¤å,72.80,0,1000 
1243,6165¤¤«H°U·s,71.00,0,1000,,1244,6165¤¤«H°U·s,72.50,0,5000 
1245,6165¤¤«H°U·s,72.90,1000,0,,1246,6167¤¤«HªQ¦¿,70.00,1000,0 
1247,6167¤¤«HªQ¦¿,70.90,2000,0,,1248,6167¤¤«HªQ¦¿,72.20,0,5000 
1249,6168¤¤«H¹Å¸q,71.50,0,1000,,1250,616A¤¤«H¤¤Ãc,70.00,0,4000 
1251,616A¤¤«H¤¤Ãc,71.60,0,1000,,1252,616A¤¤«H¤¤Ãc,72.00,3000,0 
1253,616A¤¤«H¤¤Ãc,72.10,2000,0,,1254,616A¤¤«H¤¤Ãc,72.20,1000,0 
1255,616K¤¤«H°U°ª,70.20,0,2000,,1256,616K¤¤«H°U°ª,71.00,0,3000 
1257,616K¤¤«H°U°ª,71.40,1000,0,,1258,616K¤¤«H°U°ª,71.60,1000,0 
1259,616K¤¤«H°U°ª,72.00,10000,0,,1260,616K¤¤«H°U°ª,72.50,1000,1000 
1261,616K¤¤«H°U°ª,72.70,2000,0,,1262,616K¤¤«H°U°ª,72.80,1000,0 
1263,616K¤¤«H°U°ª,73.00,2000,0,,1264,6210·s ¦Ê ¤ý,69.50,0,14000 
1265,6210·s ¦Ê ¤ý,71.20,14000,0,,1266,6210·s ¦Ê ¤ý,71.40,0,1000 
1267,6210·s ¦Ê ¤ý,71.80,1000,2000,,1268,6210·s ¦Ê ¤ý,72.30,1000,0 
1269,6210·s ¦Ê ¤ý,72.70,1000,0,,1270,6210·s ¦Ê ¤ý,73.10,1000,0 
1271,6380¥ú    ©M,72.00,2000,5000,,1272,6382¥ú©M¥Ð¤¤,70.00,0,2000 
1273,6382¥ú©M¥Ð¤¤,71.00,1000,0,,1274,6382¥ú©M¥Ð¤¤,71.30,0,1000 
1275,6382¥ú©M¥Ð¤¤,72.00,2000,0,,1276,6385¥ú©Mªá¾Â,70.20,0,3000 
1277,6385¥ú©Mªá¾Â,71.00,0,3000,,1278,638A¥ú©M¹Å¸q,70.00,1000,0 
1279,638A¥ú©M¹Å¸q,70.40,1000,0,,1280,638A¥ú©M¹Å¸q,71.70,0,1000 
1281,638A¥ú©M¹Å¸q,72.30,0,1000,,1282,638A¥ú©M¹Å¸q,72.80,0,1000 
1283,638A¥ú©M¹Å¸q,72.90,0,1000,,1284,638D¥ú©M°ª¶¯,70.00,1000,0 
1285,638D¥ú©M°ª¶¯,71.00,1000,0,,1286,638D¥ú©M°ª¶¯,72.10,0,1000 
1287,638D¥ú©M°ª¶¯,72.30,1000,0,,1288,638D¥ú©M°ª¶¯,72.80,0,1000 
1289,6450¥Ã    ¥þ,69.50,0,1000,,1290,6450¥Ã    ¥þ,72.00,0,1000 
1291,6451¥Ã¥þ«n®r,71.80,2000,0,,1292,6451¥Ã¥þ«n®r,72.90,0,2000 
1293,6452¥Ã¥þ¤K¼w,72.10,0,1000,,1294,6452¥Ã¥þ¤K¼w,73.10,1000,0 
1295,6460¤j    ©÷,69.50,0,5000,,1296,6460¤j    ©÷,70.00,1000,0 
1297,6460¤j    ©÷,70.10,0,1000,,1298,6460¤j    ©÷,70.30,10000,0 
1299,6460¤j    ©÷,70.40,1000,0,,1300,6460¤j    ©÷,70.50,1000,0 
1301,6460¤j    ©÷,70.90,0,1000,,1302,6460¤j    ©÷,71.00,0,1000 
1303,6460¤j    ©÷,71.20,1000,0,,1304,6460¤j    ©÷,71.30,0,10000 
1305,6460¤j    ©÷,71.50,0,2000,,1306,6460¤j    ©÷,71.80,1000,0 
1307,6460¤j    ©÷,72.00,2000,1000,,1308,6460¤j    ©÷,72.20,2000,0 
1309,6460¤j    ©÷,72.40,3000,0,,1310,6460¤j    ©÷,72.50,3000,0 
1311,6460¤j    ©÷,72.60,2000,0,,1312,6460¤j    ©÷,72.70,0,2000 
1313,6460¤j    ©÷,72.80,1000,0,,1314,6460¤j    ©÷,72.90,0,1000 
1315,6461¤j©÷¾ðªL,69.80,1000,0,,1316,6461¤j©÷¾ðªL,70.30,1000,0 
1317,6461¤j©÷¾ðªL,71.00,1000,0,,1318,6461¤j©÷¾ðªL,71.30,1000,0 
1319,6461¤j©÷¾ðªL,71.50,0,2000,,1320,6461¤j©÷¾ðªL,72.00,0,1000 
1321,6461¤j©÷¾ðªL,72.50,0,1000,,1322,6461¤j©÷¾ðªL,72.70,2000,0 
1323,6462¤j©÷¦w±d,70.00,0,3000,,1324,6462¤j©÷¦w±d,72.30,1000,0 
1325,6462¤j©÷¦w±d,73.00,3000,0,,1326,6463¤j©÷·s¦Ë,71.80,1000,0 
1327,6463¤j©÷·s¦Ë,72.20,1000,0,,1328,6463¤j©÷·s¦Ë,72.80,1000,0 
1329,6464¤j©÷·s©±,69.50,1000,0,,1330,6464¤j©÷·s©±,71.50,4000,1000 
1331,6464¤j©÷·s©±,71.80,0,1000,,1332,6464¤j©÷·s©±,72.00,0,1000 
1333,6464¤j©÷·s©±,72.10,1000,1000,,1334,6464¤j©÷·s©±,72.20,0,1000 
1335,6464¤j©÷·s©±,72.30,1000,0,,1336,6464¤j©÷·s©±,73.00,0,1000 
1337,6464¤j©÷·s©±,73.10,0,1000,,1338,6465¤j©÷®ç¶é,70.50,0,1000 
1339,6465¤j©÷®ç¶é,71.80,1000,0,,1340,6465¤j©÷®ç¶é,72.40,0,1000 
1341,6465¤j©÷®ç¶é,72.70,1000,0,,1342,6465¤j©÷®ç¶é,72.90,1000,0 
1343,6912¼w«H¤¤¥¿,69.50,1000,0,,1344,6912¼w«H¤¤¥¿,72.00,1000,1000 
1345,6912¼w«H¤¤¥¿,72.20,0,1000,,1346,6912¼w«H¤¤¥¿,72.40,0,1000 
1347,6912¼w«H¤¤¥¿,72.60,1000,0,,1348,6912¼w«H¤¤¥¿,72.90,1000,0 
1349,6913¼w«H·sÀç,69.50,1000,0,,1350,6913¼w«H·sÀç,71.10,0,1000 
1351,6914¼w«H¤T­«,71.90,0,2000,,1352,6914¼w«H¤T­«,72.20,2000,0 
1353,6914¼w«H¤T­«,72.80,1000,0,,1354,6914¼w«H¤T­«,72.90,1000,0 
1355,6914¼w«H¤T­«,73.00,3000,0,,1356,6950ºÖ    ³Ó,73.00,0,1000 
1357,7000¥üÂ×,70.10,0,7000,,1358,7000¥üÂ×,70.40,0,2000 
1359,7000¥üÂ×,70.90,0,1000,,1360,7000¥üÂ×,71.00,2000,0 
1361,7000¥üÂ×,72.00,10000,0,,1362,7000¥üÂ×,72.80,80000,0 
1363,7001¥üÂ×¹Å¸q,71.30,0,2000,,1364,7001¥üÂ×¹Å¸q,72.00,2000,3000 
1365,7001¥üÂ×¹Å¸q,72.10,1000,0,,1366,7001¥üÂ×¹Å¸q,72.20,4000,0 
1367,7001¥üÂ×¹Å¸q,72.50,0,1000,,1368,7001¥üÂ×¹Å¸q,72.60,3000,0 
1369,7001¥üÂ×¹Å¸q,72.90,0,1000,,1370,7001¥üÂ×¹Å¸q,73.00,0,3000 
1371,7003¥üÂ×¥x¤¤,69.50,1000,0,,1372,7003¥üÂ×¥x¤¤,71.40,1000,0 
1373,7003¥üÂ×¥x¤¤,72.90,0,1000,,1374,7005¥üÂ×¤¤´ä,69.50,100,0 
1375,7005¥üÂ×¤¤´ä,72.00,0,1000,,1376,7005¥üÂ×¤¤´ä,72.20,1000,0 
1377,7005¥üÂ×¤¤´ä,72.90,1000,0,,1378,7006¥üÂ×¥x«n,69.80,0,1000 
1379,7006¥üÂ×¥x«n,70.00,1000,0,,1380,7006¥üÂ×¥x«n,70.70,0,1000 
1381,7006¥üÂ×¥x«n,72.30,1000,0,,1382,7006¥üÂ×¥x«n,72.40,0,1000 
1383,7006¥üÂ×¥x«n,72.50,1000,0,,1384,7006¥üÂ×¥x«n,72.70,0,1000 
1385,7006¥üÂ×¥x«n,72.90,1000,0,,1386,7007¥üÂ×¦Ë¥_,70.00,2000,0 
1387,7007¥üÂ×¦Ë¥_,70.20,1000,0,,1388,7007¥üÂ×¦Ë¥_,71.50,0,1000 
1389,7007¥üÂ×¦Ë¥_,72.20,1000,0,,1390,7008¥üÂ×¤T­«,71.00,2000,0 
1391,7008¥üÂ×¤T­«,71.50,2000,0,,1392,7008¥üÂ×¤T­«,71.70,0,1000 
1393,7008¥üÂ×¤T­«,71.80,2000,0,,1394,7008¥üÂ×¤T­«,72.20,0,2000 
1395,7008¥üÂ×¤T­«,72.30,0,2000,,1396,7008¥üÂ×¤T­«,72.40,0,2000 
1397,7008¥üÂ×¤T­«,72.70,2000,0,,1398,7008¥üÂ×¤T­«,73.00,0,2000 
1399,7008¥üÂ×¤T­«,73.10,1000,0,,1400,7009¥üÂ×´º¬ü,69.50,0,2000 
1401,7009¥üÂ×´º¬ü,72.20,2000,0,,1402,700a¥üÂ×©¾§µ,69.50,1000,0 
1403,700a¥üÂ×©¾§µ,71.50,1000,0,,1404,700a¥üÂ×©¾§µ,71.60,4000,0 
1405,700a¥üÂ×©¾§µ,72.00,0,7000,,1406,700a¥üÂ×©¾§µ,72.10,0,2000 
1407,700a¥üÂ×©¾§µ,73.00,0,1000,,1408,700b¥üÂ×¤¤Ãc,71.40,0,1000 
1409,700b¥üÂ×¤¤Ãc,72.00,1000,0,,1410,700b¥üÂ×¤¤Ãc,72.20,1000,0 
1411,700b¥üÂ×¤¤Ãc,72.90,1000,0,,1412,700B¥üÂ×ªO¾ô,70.20,2000,0 
1413,700B¥üÂ×ªO¾ô,71.00,2000,0,,1414,700B¥üÂ×ªO¾ô,71.50,4000,0 
1415,700c¥üÂ×¥Á¥Í,69.50,0,1000,,1416,700c¥üÂ×¥Á¥Í,71.60,5000,0 
1417,700c¥üÂ×¥Á¥Í,72.00,0,1000,,1418,700c¥üÂ×¥Á¥Í,72.10,7000,0 
1419,700C¥üÂ×¨ÓºÖ,71.40,0,1000,,1420,700C¥üÂ×¨ÓºÖ,71.60,0,1000 
1421,700C¥üÂ×¨ÓºÖ,71.80,1000,0,,1422,700C¥üÂ×¨ÓºÖ,72.50,1000,0 
1423,700C¥üÂ×¨ÓºÖ,73.00,1000,0,,1424,700d¥üÂ×¹ü¤Æ,69.50,17000,0 
1425,700d¥üÂ×¹ü¤Æ,69.70,7000,0,,1426,700d¥üÂ×¹ü¤Æ,69.80,6000,0 
1427,700d¥üÂ×¹ü¤Æ,70.00,20000,0,,1428,700d¥üÂ×¹ü¤Æ,70.10,0,1000 
1429,700d¥üÂ×¹ü¤Æ,70.20,4000,21000,,1430,700d¥üÂ×¹ü¤Æ,70.30,4000,37000 
1431,700d¥üÂ×¹ü¤Æ,70.40,2000,2000,,1432,700d¥üÂ×¹ü¤Æ,70.50,0,2000 
1433,700d¥üÂ×¹ü¤Æ,71.10,4000,0,,1434,700d¥üÂ×¹ü¤Æ,71.30,11000,0 
1435,700d¥üÂ×¹ü¤Æ,71.40,5000,6000,,1436,700d¥üÂ×¹ü¤Æ,71.50,6000,8000 
1437,700d¥üÂ×¹ü¤Æ,71.60,15000,3000,,1438,700d¥üÂ×¹ü¤Æ,71.70,19000,3000 
1439,700d¥üÂ×¹ü¤Æ,71.80,15000,0,,1440,700d¥üÂ×¹ü¤Æ,71.90,2000,0 
1441,700d¥üÂ×¹ü¤Æ,72.00,8000,6000,,1442,700d¥üÂ×¹ü¤Æ,72.10,16000,3000 
1443,700d¥üÂ×¹ü¤Æ,72.20,0,30000,,1444,700d¥üÂ×¹ü¤Æ,72.30,0,9000 
1445,700d¥üÂ×¹ü¤Æ,72.40,0,15000,,1446,700d¥üÂ×¹ü¤Æ,72.50,0,10000 
1447,700d¥üÂ×¹ü¤Æ,72.80,0,6000,,1448,700d¥üÂ×¹ü¤Æ,72.90,0,2000 
1449,700D¥üÂ×¦èÁ³,70.20,0,1000,,1450,700D¥üÂ×¦èÁ³,70.90,1000,0 
1451,700D¥üÂ×¦èÁ³,72.50,0,1000,,1452,700E¥üÂ×¤æ«n,72.00,0,1000 
1453,700E¥üÂ×¤æ«n,72.20,2000,1000,,1454,700f¥üÂ×³À´ä,71.90,0,5000 
1455,700f¥üÂ×³À´ä,72.00,0,7000,,1456,700f¥üÂ×³À´ä,72.40,5000,0 
1457,700f¥üÂ×³À´ä,72.80,0,3000,,1458,700F¥üÂ×ªê§À,69.70,0,2000 
1459,700F¥üÂ×ªê§À,72.00,0,1000,,1460,700F¥üÂ×ªê§À,72.10,1000,0 
1461,700F¥üÂ×ªê§À,72.20,1000,0,,1462,700F¥üÂ×ªê§À,72.90,1000,0 
1463,700g¥üÂ×«nªù,72.10,1000,0,,1464,700G¥üÂ×³Â¨§,69.80,0,1000 
1465,700G¥üÂ×³Â¨§,72.30,1000,0,,1466,700G¥üÂ×³Â¨§,72.50,0,1000 
1467,700G¥üÂ×³Â¨§,72.80,0,1000,,1468,700G¥üÂ×³Â¨§,72.90,1000,0 
1469,700h¥üÂ×¤T¥Á,69.90,7000,0,,1470,700h¥üÂ×¤T¥Á,70.10,4000,0 
1471,700h¥üÂ×¤T¥Á,71.40,3000,0,,1472,700h¥üÂ×¤T¥Á,71.60,8000,0 
1473,700h¥üÂ×¤T¥Á,72.10,0,1000,,1474,700h¥üÂ×¤T¥Á,72.90,1000,1000 
1475,700H¥üÂ×ªFªù,69.50,7000,0,,1476,700H¥üÂ×ªFªù,71.50,0,1000 
1477,700H¥üÂ×ªFªù,71.60,0,2000,,1478,700H¥üÂ×ªFªù,72.00,8000,3000 
1479,700H¥üÂ×ªFªù,72.20,0,1000,,1480,700H¥üÂ×ªFªù,72.30,1000,1000 
1481,700H¥üÂ×ªFªù,72.40,0,1000,,1482,700H¥üÂ×ªFªù,72.60,1000,0 
1483,700H¥üÂ×ªFªù,72.80,12000,0,,1484,700i¥üÂ×ªQ¼w,72.00,2000,0 
1485,700i¥üÂ×ªQ¼w,72.80,0,2000,,1486,700I¥üÂ×¥_°ª,69.50,10000,0 
1487,700I¥üÂ×¥_°ª,70.40,1000,0,,1488,700I¥üÂ×¥_°ª,70.50,1000,0 
1489,700I¥üÂ×¥_°ª,70.70,1000,0,,1490,700I¥üÂ×¥_°ª,71.00,0,1000 
1491,700I¥üÂ×¥_°ª,72.00,0,1000,,1492,700I¥üÂ×¥_°ª,72.60,1000,0 
1493,700I¥üÂ×¥_°ª,72.70,0,29000,,1494,700I¥üÂ×¥_°ª,72.80,1000,0 
1495,700j¥üÂ×¤j¦w,69.50,8000,0,,1496,700j¥üÂ×¤j¦w,69.70,2000,0 
1497,700j¥üÂ×¤j¦w,69.80,2000,0,,1498,700j¥üÂ×¤j¦w,70.10,6000,0 
1499,700j¥üÂ×¤j¦w,70.20,12000,0,,1500,700j¥üÂ×¤j¦w,70.30,6000,0 
1501,700j¥üÂ×¤j¦w,71.30,0,12000,,1502,700j¥üÂ×¤j¦w,71.60,0,12000 
1503,700j¥üÂ×¤j¦w,71.80,0,1000,,1504,700j¥üÂ×¤j¦w,71.90,0,12000 
1505,700j¥üÂ×¤j¦w,72.00,0,2000,,1506,700j¥üÂ×¤j¦w,72.20,1000,1000 
1507,700j¥üÂ×¤j¦w,72.50,1000,0,,1508,700j¥üÂ×¤j¦w,72.70,2000,0 
1509,700j¥üÂ×¤j¦w,72.80,1000,0,,1510,700J¥üÂ×¤½¯q,69.50,0,7000 
1511,700J¥üÂ×¤½¯q,70.20,0,1000,,1512,700J¥üÂ×¤½¯q,70.30,1000,0 
1513,700J¥üÂ×¤½¯q,70.80,1000,0,,1514,700J¥üÂ×¤½¯q,71.60,0,2000 
1515,700J¥üÂ×¤½¯q,71.80,1000,0,,1516,700J¥üÂ×¤½¯q,71.90,0,2000 
1517,700J¥üÂ×¤½¯q,72.00,1000,0,,1518,700J¥üÂ×¤½¯q,72.10,0,1000 
1519,700J¥üÂ×¤½¯q,72.20,2000,0,,1520,700J¥üÂ×¤½¯q,72.50,1000,0 
1521,700J¥üÂ×¤½¯q,72.90,0,1000,,1522,700k¥üÂ×­ûªL,70.00,1000,0 
1523,700k¥üÂ×­ûªL,71.00,1000,0,,1524,700k¥üÂ×­ûªL,71.50,1000,0 
1525,700k¥üÂ×­ûªL,72.20,0,10000,,1526,700K¥üÂ×·sÀç,69.50,2000,0 
1527,700K¥üÂ×·sÀç,70.20,1000,0,,1528,700K¥üÂ×·sÀç,70.40,1000,0 
1529,700K¥üÂ×·sÀç,71.00,1000,0,,1530,700K¥üÂ×·sÀç,71.10,1000,1000 
1531,700K¥üÂ×·sÀç,71.50,0,2000,,1532,700K¥üÂ×·sÀç,71.60,0,1000 
1533,700K¥üÂ×·sÀç,71.70,1000,0,,1534,700K¥üÂ×·sÀç,71.80,1000,0 
1535,700K¥üÂ×·sÀç,71.90,0,2000,,1536,700K¥üÂ×·sÀç,72.10,1000,0 
1537,700K¥üÂ×·sÀç,72.30,1000,0,,1538,700K¥üÂ×·sÀç,72.60,1000,0 
1539,700L¥üÂ×¤Ñ¥À,71.60,10000,0,,1540,700M¥üÂ×®ç¶é,69.50,10000,0 
1541,700M¥üÂ×®ç¶é,70.50,0,3000,,1542,700M¥üÂ×®ç¶é,71.00,1000,9000 
1543,700M¥üÂ×®ç¶é,71.40,1000,0,,1544,700M¥üÂ×®ç¶é,71.80,1000,1000 
1545,700M¥üÂ×®ç¶é,72.00,2000,0,,1546,700M¥üÂ×®ç¶é,72.50,1000,0 
1547,700M¥üÂ×®ç¶é,72.70,3000,0,,1548,700N¥üÂ×®HáY,69.50,3000,0 
1549,700N¥üÂ×®HáY,71.90,0,1000,,1550,700p¥üÂ×´_¿³,72.20,0,2000 
1551,700p¥üÂ×´_¿³,72.70,0,5000,,1552,700p¥üÂ×´_¿³,72.90,10000,1000 
1553,700p¥üÂ×´_¿³,73.00,0,1000,,1554,700p¥üÂ×´_¿³,73.10,0,1000 
1555,700P¥üÂ×«n¨Ê,71.40,1000,0,,1556,700q¥üÂ×¤º´ò,71.70,2000,0 
1557,700q¥üÂ×¤º´ò,71.90,0,2000,,1558,700r¥üÂ×Ä_¦¨,72.30,1000,0 
1559,700R¥üÂ×¤p´ä,70.30,0,1000,,1560,700R¥üÂ×¤p´ä,71.10,1000,0 
1561,700R¥üÂ×¤p´ä,71.30,0,5000,,1562,700R¥üÂ×¤p´ä,71.90,1000,0 
1563,700R¥üÂ×¤p´ä,72.10,2000,1000,,1564,700R¥üÂ×¤p´ä,72.90,3000,1000 
1565,700s¥üÂ×©£¤s,71.70,0,1000,,1566,700s¥üÂ×©£¤s,72.10,1000,0 
1567,700s¥üÂ×©£¤s,73.00,1000,0,,1568,700S¥üÂ×¤j¦P,69.90,0,1000 
1569,700S¥üÂ×¤j¦P,72.00,0,1000,,1570,700U¥üÂ×®çÅa,70.30,1000,0 
1571,700U¥üÂ×®çÅa,72.00,1000,0,,1572,700U¥üÂ×®çÅa,72.10,6000,0 
1573,700U¥üÂ×®çÅa,72.20,2000,0,,1574,700U¥üÂ×®çÅa,72.60,0,2000 
1575,700V¥üÂ×·s¦Ë,72.00,0,2000,,1576,700w¥üÂ×·s²ø,70.20,1000,0 
1577,700w¥üÂ×·s²ø,71.80,1000,0,,1578,700w¥üÂ×·s²ø,73.20,1000,0 
1579,700W¥üÂ×«°¤¤,69.80,0,1000,,1580,700W¥üÂ×«°¤¤,72.80,1000,0 
1581,700W¥üÂ×«°¤¤,73.20,1000,0,,1582,700X¥üÂ×¥Ã©M,69.50,45,0 
1583,700Z¥üÂ×°ª¶¯,71.00,1000,0,,1584,700Z¥üÂ×°ª¶¯,71.20,1000,0 
1585,700Z¥üÂ×°ª¶¯,71.30,0,1000,,1586,700Z¥üÂ×°ª¶¯,72.20,0,1000 
1587,700Z¥üÂ×°ª¶¯,72.80,1000,0,,1588,7030­P    ©M,70.50,0,1000 
1589,7030­P    ©M,72.80,1000,0,,1590,7033­P©M©²«e,71.40,5000,0 
1591,7033­P©M©²«e,71.70,10000,0,,1592,7033­P©M©²«e,71.80,17000,0 
1593,7033­P©M©²«e,71.90,38000,0,,1594,7033­P©M©²«e,72.00,11000,0 
1595,7033­P©M©²«e,72.10,19000,0,,1596,7033­P©M©²«e,72.20,11000,0 
1597,7033­P©M©²«e,72.30,15000,0,,1598,7033­P©M©²«e,72.40,10000,0 
1599,7033­P©M©²«e,72.70,1000,0,,1600,7034­P©Mª÷µØ,70.80,1000,0 
1601,7034­P©Mª÷µØ,71.50,1000,0,,1602,7034­P©Mª÷µØ,72.90,0,1000 
1603,7036­P©M°ª¶¯,69.50,0,20000,,1604,7036­P©M°ª¶¯,71.50,1000,0 
1605,7036­P©M°ª¶¯,72.00,20000,0,,1606,7038­P©M«n¨Ê,71.70,1000,0 
1607,703B­P©M±R¼w,71.70,5000,0,,1608,703B­P©M±R¼w,72.00,1000,0 
1609,7070Â×    ¹A,70.70,0,1000,,1610,7070Â×    ¹A,70.90,0,1000 
1611,7070Â×    ¹A,71.50,1000,0,,1612,7750¥_    «°,69.50,0,715 
1613,7750¥_    «°,70.30,5000,0,,1614,7750¥_    «°,71.50,6000,0 
1615,7750¥_    «°,71.70,1000,0,,1616,7750¥_    «°,71.90,0,2000 
1617,7750¥_    «°,72.10,5000,0,,1618,7750¥_    «°,72.30,0,5000 
1619,7750¥_    «°,73.00,0,1000,,1620,7750¥_    «°,73.20,0,5000 
1621,7790°ê²¼ºî¦X,70.50,2000,0,,1622,7790°ê²¼ºî¦X,71.40,4000,0 
1623,7790°ê²¼ºî¦X,71.80,4000,0,,1624,7790°ê²¼ºî¦X,71.90,4000,0 
1625,7790°ê²¼ºî¦X,72.00,4000,0,,1626,7790°ê²¼ºî¦X,72.10,0,2000 
1627,7790°ê²¼ºî¦X,73.00,2000,0,,1628,7791°ê²¼¥xªF,69.50,0,1000 
1629,7791°ê²¼¥xªF,71.80,0,1000,,1630,7791°ê²¼¥xªF,72.50,1000,0 
1631,7792°ê²¼¥_§ë,70.40,1000,0,,1632,7797°ê²¼¤¤¥¿,71.50,0,2000 
1633,7797°ê²¼¤¤¥¿,72.90,2000,1000,,1634,7798°ê²¼¤ºÃc,70.40,1000,0 
1635,7798°ê²¼¤ºÃc,71.50,2000,0,,1636,7798°ê²¼¤ºÃc,72.10,0,2000 
1637,7798°ê²¼¤ºÃc,72.30,1000,0,,1638,779c°ê²¼´°¥_,70.00,0,1000 
1639,779c°ê²¼´°¥_,71.50,5000,0,,1640,779c°ê²¼´°¥_,72.20,0,6000 
1641,779c°ê²¼´°¥_,72.40,0,5000,,1642,779c°ê²¼´°¥_,72.50,1000,0 
1643,779c°ê²¼´°¥_,73.00,0,35000,,1644,779c°ê²¼´°¥_,73.20,0,14000 
1645,779D°ê²¼¥x«n,70.00,1000,0,,1646,779D°ê²¼¥x«n,70.40,1000,0 
1647,779D°ê²¼¥x«n,70.50,1000,0,,1648,779D°ê²¼¥x«n,71.80,0,2000 
1649,779D°ê²¼¥x«n,72.10,2000,0,,1650,779e°ê²¼«n¬ì,69.90,0,1000 
1651,779e°ê²¼«n¬ì,70.30,0,1000,,1652,779e°ê²¼«n¬ì,71.00,0,1000 
1653,779e°ê²¼«n¬ì,71.10,1000,0,,1654,779e°ê²¼«n¬ì,71.30,1000,0 
1655,779e°ê²¼«n¬ì,72.00,0,1000,,1656,779e°ê²¼«n¬ì,72.40,1000,0 
1657,779e°ê²¼«n¬ì,73.00,0,1000,,1658,779E°ê²¼«n®r,71.50,1000,0 
1659,779E°ê²¼«n®r,71.90,0,1000,,1660,779G°ê²¼·s²ø,70.40,1000,0 
1661,779G°ê²¼·s²ø,71.10,0,1000,,1662,779G°ê²¼·s²ø,73.00,0,1000 
1663,779H°ê²¼¹Å¸q,70.10,1000,0,,1664,779H°ê²¼¹Å¸q,70.30,0,1000 
1665,779H°ê²¼¹Å¸q,70.40,0,1000,,1666,779j°ê²¼©M¥­,69.50,0,1000 
1667,779j°ê²¼©M¥­,70.00,0,1000,,1668,779j°ê²¼©M¥­,72.00,0,10000 
1669,779j°ê²¼©M¥­,72.10,0,5000,,1670,779j°ê²¼©M¥­,72.20,1000,5000 
1671,779j°ê²¼©M¥­,72.50,1000,0,,1672,779J°ê²¼¥_°ª,69.50,0,1000 
1673,779J°ê²¼¥_°ª,69.70,1000,0,,1674,779J°ê²¼¥_°ª,70.60,3000,0 
1675,779J°ê²¼¥_°ª,71.60,0,3000,,1676,779J°ê²¼¥_°ª,71.90,1000,0 
1677,779J°ê²¼¥_°ª,72.10,1000,0,,1678,779J°ê²¼¥_°ª,72.20,0,1000 
1679,779J°ê²¼¥_°ª,72.90,0,1000,,1680,779m°ê²¼¤¤´ä,71.00,1000,0 
1681,779m°ê²¼¤¤´ä,71.80,1000,10000,,1682,779m°ê²¼¤¤´ä,71.90,0,4000 
1683,779m°ê²¼¤¤´ä,72.70,1000,0,,1684,779m°ê²¼¤¤´ä,72.80,5000,0 
1685,779m°ê²¼¤¤´ä,72.90,4000,0,,1686,779n°ê²¼«n¨Ê,71.30,0,1000 
1687,779P°ê²¼¤E¹©,69.50,5000,2000,,1688,779P°ê²¼¤E¹©,69.60,1000,0 
1689,779P°ê²¼¤E¹©,70.20,5000,0,,1690,779P°ê²¼¤E¹©,70.50,1000,0 
1691,779P°ê²¼¤E¹©,71.60,5000,0,,1692,779P°ê²¼¤E¹©,71.70,1000,0 
1693,779P°ê²¼¤E¹©,72.00,2000,0,,1694,779P°ê²¼¤E¹©,72.30,0,6000 
1695,779P°ê²¼¤E¹©,72.60,0,1000,,1696,779P°ê²¼¤E¹©,72.80,1000,0 
1697,779P°ê²¼¤E¹©,73.00,1000,0,,1698,779r°ê²¼®ç°ê,71.50,0,2000 
1699,779r°ê²¼®ç°ê,72.50,2000,0,,1700,779u°ê²¼ªø«°,71.70,0,10000 
1701,779v°ê²¼¥x¤¤,69.50,1000,0,,1702,779v°ê²¼¥x¤¤,70.30,1000,0 
1703,779v°ê²¼¥x¤¤,70.50,3000,0,,1704,779v°ê²¼¥x¤¤,71.10,1000,0 
1705,779v°ê²¼¥x¤¤,72.00,0,2000,,1706,779v°ê²¼¥x¤¤,72.50,1000,0 
1707,779V°ê²¼¤Ñ²»,71.70,1000,0,,1708,779V°ê²¼¤Ñ²»,72.10,0,3000 
1709,779V°ê²¼¤Ñ²»,72.70,1000,0,,1710,779X°ê²¼¤¤©M,71.80,1000,0 
