交易日期:20201022  契約代號:TXO  契約名稱:臺指選擇權  到期月份:202012 買/賣權:C
履約價格,成交價格,全市場成交量,買進期貨商代號,買進期貨商名稱,賣出期貨商代號,賣出期貨商名稱 
13600,59,2,F002,永豐期貨,F020,群益期貨
13600,60,1,F034,澳帝華期貨,F004,凱基期貨
13600,62,5,F026,富邦期貨,F026,富邦期貨
13600,65,5,F002,永豐期貨,F005,國票期貨
 , , , , ,S888,國泰證券
13600,68,3,F034,澳帝華期貨,F004,凱基期貨
 , , ,S856,新光證券,F018,元富期貨
13600,71,3,F020,群益期貨,F021,元大期貨
 , , ,F034,澳帝華期貨,F026,富邦期貨
 , , , , ,F034,澳帝華期貨
13600,75,3,F005,國票期貨,F021,元大期貨
 , , ,F021,元大期貨,F034,澳帝華期貨
13600,76,9,F004,凱基期貨,F007,日盛期貨
 , , ,F005,國票期貨,F034,澳帝華期貨
13600,77,6,F004,凱基期貨,F034,澳帝華期貨
13700,19,1,F020,群益期貨,F030,兆豐期貨
13700,49.5,1,S888,國泰證券,F004,凱基期貨
13700,50,1,S888,國泰證券,F004,凱基期貨
13700,56,5,F034,澳帝華期貨,F004,凱基期貨
 , , ,S856,新光證券,S856,新光證券
13700,57,7,F034,澳帝華期貨,F002,永豐期貨
 , , , , ,F004,凱基期貨
 , , , , ,F029,康和期貨
13700,58,3,F020,群益期貨,F004,凱基期貨
 , , ,S888,國泰證券,F021,元大期貨
13700,59,2,F021,元大期貨,F004,凱基期貨
 , , , , ,F018,元富期貨
13700,60,4,F005,國票期貨,F020,群益期貨
 , , ,S888,國泰證券,S856,新光證券
13800,46,4,F020,群益期貨,F002,永豐期貨
 , , ,F034,澳帝華期貨,F018,元富期貨
14000,22,1,F020,群益期貨,F021,元大期貨
14000,23.5,1,F004,凱基期貨,F020,群益期貨
14000,24,1,F034,澳帝華期貨,F021,元大期貨
14000,25,1,S888,國泰證券,F021,元大期貨
14000,26,11,F029,康和期貨,F021,元大期貨
 , , ,F039,大昌期貨,S888,國泰證券
 , , ,S888,國泰證券, , 
14000,27,1,F034,澳帝華期貨,F021,元大期貨
14000,28.5,5,F002,永豐期貨,F034,澳帝華期貨
14000,29,1,F029,康和期貨,F039,大昌期貨
14000,29.5,21,F034,澳帝華期貨,F039,大昌期貨
 , , , , ,S888,國泰證券
14100,22,1,F034,澳帝華期貨,F021,元大期貨
14100,22.5,5,F030,兆豐期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F021,元大期貨
14200,14,1,F030,兆豐期貨,F020,群益期貨
14200,17,1,F034,澳帝華期貨,F021,元大期貨
14200,18,1,F034,澳帝華期貨,F021,元大期貨
14500,11,1,F034,澳帝華期貨,F004,凱基期貨
14500,12,1,F034,澳帝華期貨,F020,群益期貨
15800,2.1,1,S856,新光證券,S888,國泰證券
15800,2.2,1,F034,澳帝華期貨,S888,國泰證券
15800,2.3,9,S856,新光證券,S888,國泰證券
15800,2.5,5,F004,凱基期貨,S888,國泰證券
15800,2.7,1,F021,元大期貨,S888,國泰證券
15800,3,1,F021,元大期貨,S888,國泰證券
15800,3.1,1,F021,元大期貨,S888,國泰證券
15800,5.8,6,F021,元大期貨,F018,元富期貨
15800,5.9,1,F021,元大期貨,F021,元大期貨
15800,6,5,F021,元大期貨,F018,元富期貨
 , , , , ,F039,大昌期貨
15800,7.9,1,F021,元大期貨,F021,元大期貨
