交易日期:20201022  契約代號:TXO  契約名稱:臺指選擇權  到期月份:202012 買/賣權:P
履約價格,成交價格,全市場成交量,買進期貨商代號,買進期貨商名稱,賣出期貨商代號,賣出期貨商名稱 
12900,473,5,F034,澳帝華期貨,F020,群益期貨
12900,474,6,F034,澳帝華期貨,F020,群益期貨
12900,475,60,F034,澳帝華期貨,S585,統一證券
 , , , , ,S592,元富證券
 , , , , ,S888,國泰證券
12900,476,20,F034,澳帝華期貨,S890,法銀巴黎證券
12900,478,120,F034,澳帝華期貨,F020,群益期貨
 , , ,S890,法銀巴黎證券,F034,澳帝華期貨
 , , , , ,S890,法銀巴黎證券
 , , , , ,S980,元大證券
12900,479,20,S585,統一證券,F020,群益期貨
13000,493,1,F014,華南期貨,F020,群益期貨
13000,510,1,F004,凱基期貨,S980,元大證券
13000,525,6,S890,法銀巴黎證券,F020,群益期貨
13000,530,15,F001,國泰期貨,F020,群益期貨
 , , ,F034,澳帝華期貨,F034,澳帝華期貨
13000,545,1,F002,永豐期貨,F034,澳帝華期貨
13100,570,1,F004,凱基期貨,S890,法銀巴黎證券
13100,580,3,F004,凱基期貨,F034,澳帝華期貨
 , , , , ,S888,國泰證券
 , , , , ,S890,法銀巴黎證券
13100,585,16,S888,國泰證券,F020,群益期貨
13100,590,51,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S592,元富證券
 , , , , ,S888,國泰證券
13200,655,31,F034,澳帝華期貨,F020,群益期貨
 , , , , ,S888,國泰證券
